City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Ponta Do Sol,PT,2022-07-06 16:58:20,32.6667,-17.1,78.71,62,3,3.56
99,Muromtsevo,RU,2022-07-06 16:58:20,56.3724,75.2418,60.73,96,100,1.72
100,Lebu,CL,2022-07-06 16:58:20,-37.6167,-73.65,49.37,72,86,13.15
101,Tocopilla,CL,2022-07-06 16:58:21,-22.092,-70.1979,64.9,71,86,11.88
102,Dakar,SN,2022-07-06 16:54:17,14.6937,-17.4441,86.88,70,75,13.8
103,Hasaki,JP,2022-07-06 16:58:22,35.7333,140.8333,73.29,91,79,18.99
104,Tevaitoa,PF,2022-07-06 16:58:22,-16.7833,-151.5,79.32,65,15,9.15
105,Vanderhoof,CA,2022-07-06 16:58:24,54.0166,-124.0198,61.12,74,98,2.98
106,Tessalit,ML,2022-07-06 16:58:24,20.1986,1.0114,104.58,13,41,2.28
107,Oussouye,SN,2022-07-06 16:58:24,12.485,-16.5469,91.58,68,97,9.46
108,Takoradi,GH,2022-07-06 16:58:25,4.8845,-1.7554,78.51,82,88,10.02
109,Sur,OM,2022-07-06 16:58:25,22.5667,59.5289,85.6,78,84,10.74
110,Kyabram,AU,2022-07-06 16:58:26,-36.3167,145.05,36.88,92,0,7.31
111,Ouesso,CG,2022-07-06 16:58:26,1.6136,16.0517,78.26,75,62,2.13
112,Tilichiki,RU,2022-07-06 16:58:26,60.4667,166.1,48.51,90,100,1.61
113,Tromso,NO,2022-07-06 16:55:51,69.6496,18.957,53.62,76,75,9.22
114,Aklavik,CA,2022-07-06 16:58:27,68.2191,-135.0107,68.0,83,75,3.44
115,Culebra,PR,2022-07-06 16:58:28,18.303,-65.301,81.97,78,6,17.25
116,Klaksvik,FO,2022-07-06 16:58:28,62.2266,-6.589,49.12,86,67,21.5
117,Staryy Nadym,RU,2022-07-06 16:58:28,65.6118,72.6842,63.52,65,94,5.75
118,Ancud,CL,2022-07-06 16:58:29,-41.8697,-73.8203,42.22,77,66,22.12
119,Kapaa,US,2022-07-06 16:58:29,22.0752,-159.319,72.12,92,100,11.59
120,Nuuk,GL,2022-07-06 16:58:30,64.1835,-51.7216,42.17,92,100,8.32
121,Nyurba,RU,2022-07-06 16:58:32,63.2842,118.3319,59.34,81,100,2.21
122,Yellowknife,CA,2022-07-06 16:58:33,62.456,-114.3525,75.72,33,20,6.91
123,Dolinsk,RU,2022-07-06 16:58:34,47.35,142.8,57.2,97,45,5.44
124,Lorengau,PG,2022-07-06 16:58:34,-2.0226,147.2712,81.63,79,50,8.46
125,Dunedin,NZ,2022-07-06 16:54:51,-45.8742,170.5036,43.81,77,59,4.0
126,Mouila,GA,2022-07-06 16:58:35,-1.8685,11.0559,84.42,53,83,2.51
127,Rensvik,NO,2022-07-06 16:58:35,63.1,7.8167,53.26,87,100,8.05
128,Vardo,NO,2022-07-06 16:58:35,70.3705,31.1107,49.73,88,91,10.89
129,Alta Floresta,BR,2022-07-06 16:58:36,-9.8756,-56.0861,93.02,31,20,4.61
130,Villa Carlos Paz,AR,2022-07-06 16:58:36,-31.4241,-64.4978,78.06,33,6,19.04
131,New Norfolk,AU,2022-07-06 16:58:37,-42.7826,147.0587,46.9,78,65,0.49
