City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
554,Keti Bandar,PK,81.82,light rain,24.1447,67.4497,Haji laloo memon house
555,Kuantan,MY,87.35,overcast clouds,3.8077,103.326,Hotel Sentral Kuantan
557,Inuvik,CA,82.67,overcast clouds,68.3499,-133.7218,Nova Inn Inuvik
561,Aleksandrov Gay,RU,75.47,clear sky,50.147,48.5704,Gostinitsa
562,Ishigaki,JP,84.36,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
565,Cockburn Town,TC,81.63,clear sky,21.4612,-71.1419,Osprey Beach Hotel
566,Samarai,PG,83.28,scattered clouds,-10.6167,150.6667,Nuli Sapi
571,Mangrol,IN,82.18,light rain,21.1167,70.1167,Hotel The Royal Honours
575,Ahuimanu,US,82.11,shower rain,21.4447,-157.8378,Paradise Bay Resort
576,Katherine,AU,75.52,broken clouds,-14.4667,132.2667,Pine Tree Motel
577,Cedar City,US,81.57,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
578,Amahai,ID,81.45,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
586,Iralaya,HN,80.46,broken clouds,15.0,-83.2333,Iglesia morava renovada
589,Cairns,AU,79.07,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
596,Nuevo Progreso,MX,81.54,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
598,La Palma,US,83.82,haze,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
599,Gunjur,GM,79.65,overcast clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
601,Alice Town,BS,84.43,overcast clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
604,Acarau,BR,78.01,broken clouds,-2.8856,-40.12,castelo pizzaria
607,Polson,US,75.22,broken clouds,47.6936,-114.1632,Americas Best Value Port Polson Inn
608,Nhulunbuy,AU,77.61,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
614,Ternate,ID,79.86,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
615,Dillon,US,79.14,heavy intensity rain,34.4166,-79.3712,Dillon Express Inn
618,Zaltan,LY,76.96,clear sky,32.947,11.8665,زلطن الشرقية
621,Mitsamiouli,KM,75.27,clear sky,-11.3847,43.2844,Foyer ADM
633,Gigmoto,PH,84.22,overcast clouds,13.7796,124.39,Cj's Travellers Inn
635,Sitionuevo,CO,80.76,few clouds,10.7774,-74.7205,Malecón Ecoturistico Sabanagrande
637,Bongaigaon,IN,86.05,few clouds,26.4782,90.5568,Hotel NEER
640,San Andres,CO,82.42,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
641,Hurghada,EG,81.01,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
