City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Florianopolis,BR,-27.6146,-48.5012,62.69,84,75,2.3,broken clouds
259,Maraba,BR,-5.3686,-49.1178,77.18,88,0,0.0,clear sky
260,Horki,BY,54.2861,30.9842,56.14,86,36,1.3,scattered clouds
261,San Marco In Lamis,IT,41.7131,15.6399,62.69,72,0,12.57,clear sky
262,Saint-Joseph,RE,-21.3667,55.6167,64.78,73,72,16.67,broken clouds
263,Nishihara,JP,26.1842,127.7558,87.08,84,75,12.66,broken clouds
264,Port Hedland,AU,-20.3167,118.5667,75.25,12,0,14.97,clear sky
265,Mindelo,CV,16.8901,-24.9804,74.75,69,75,18.41,broken clouds
266,Camacha,PT,33.0833,-16.3333,63.82,88,40,13.8,scattered clouds
267,Kinkala,CG,-4.3614,14.7644,63.07,95,71,2.89,broken clouds
268,Trelew,AR,-43.249,-65.3051,49.23,33,68,14.43,broken clouds
269,Kamenka,RU,51.3223,42.7678,69.04,60,3,4.05,clear sky
270,Tabou,CI,4.423,-7.3528,75.18,84,100,9.82,overcast clouds
271,Pozo Colorado,PY,-23.4923,-58.7972,71.38,68,99,5.28,overcast clouds
272,Dunedin,NZ,-45.8742,170.5036,43.81,87,100,11.01,overcast clouds
273,Mahebourg,MU,-20.4081,57.7,68.29,73,40,12.66,scattered clouds
274,Hasaki,JP,35.7333,140.8333,90.28,71,92,7.31,overcast clouds
275,Port Hardy,CA,50.6996,-127.4199,62.78,77,75,5.75,broken clouds
276,Charagua,BO,-19.8,-63.2167,70.88,63,25,12.37,scattered clouds
277,Svetlaya,RU,46.5389,138.3297,68.95,83,88,10.2,overcast clouds
278,San Vicente,AR,-26.6167,-54.1333,61.63,80,94,3.53,overcast clouds
279,Yasnyy,RU,51.0333,59.8742,68.41,65,87,9.19,overcast clouds
280,Nalut,LY,30.3333,10.85,79.63,53,26,21.14,scattered clouds
281,Fairbanks,US,64.8378,-147.7164,87.03,30,14,4.59,few clouds
282,Vila Franca Do Campo,PT,37.7167,-25.4333,66.2,82,24,7.78,few clouds
283,Cabo San Lucas,MX,22.8909,-109.9124,89.62,60,41,10.25,scattered clouds
284,Peterhead,GB,57.5058,-1.7981,55.8,83,93,17.07,overcast clouds
285,Russell,US,32.3502,-85.1999,77.97,91,98,4.61,overcast clouds
286,Dingle,PH,10.9995,122.6711,84.51,75,100,9.84,overcast clouds
287,Brae,GB,60.3964,-1.353,51.87,85,100,19.51,overcast clouds
288,Pingliang,CN,35.5392,106.6861,89.17,35,97,6.55,overcast clouds
289,San Antero,CO,9.3741,-75.7589,79.68,87,100,7.54,overcast clouds
290,Lata,PT,40.1629,-8.3327,66.07,35,0,3.76,clear sky
291,Gisborne,NZ,-38.6533,178.0042,61.92,60,0,14.27,clear sky
292,Mayo,US,38.8876,-76.5119,80.26,82,88,6.06,overcast clouds
293,Los Algarrobos,PA,8.5,-82.4333,77.41,94,40,3.44,scattered clouds
294,Talladega,US,33.4359,-86.1058,81.48,88,40,0.0,mist
295,Tokmak,UA,47.2514,35.7058,72.14,35,13,7.23,few clouds
296,Mahajanga,MG,-15.7167,46.3167,64.42,72,20,6.91,few clouds
297,Codrington,AU,-38.2667,141.9667,54.77,69,26,6.02,scattered clouds
298,Tuktoyaktuk,CA,69.4541,-133.0374,60.8,94,75,14.97,mist
299,Dmitriyevka,RU,54.75,55.3333,65.75,78,3,2.37,clear sky
300,Port Blair,IN,11.6667,92.75,82.44,83,100,9.22,overcast clouds
301,Beloha,MG,-25.1667,45.05,58.39,78,0,8.12,clear sky
